 0.10000E-03  0.19058E+56  0.92285E+56 0001
 0.20000E-03  0.19057E+56  0.92277E+56 0002
 0.30000E-03  0.19055E+56  0.92266E+56 0003
 0.40000E-03  0.19053E+56  0.92259E+56 0004
 0.50000E-03  0.19052E+56  0.92250E+56 0005
 0.60000E-03  0.19050E+56  0.92242E+56 0006
 0.70000E-03  0.19049E+56  0.92234E+56 0007
 0.80000E-03  0.19047E+56  0.92226E+56 0008
 0.90000E-03  0.19046E+56  0.92218E+56 0009
 0.10000E-02  0.19045E+56  0.92213E+56 0010
 0.11000E-02  0.19044E+56  0.92205E+56 0011
 0.12000E-02  0.19043E+56  0.92197E+56 0012
 0.13000E-02  0.19042E+56  0.92192E+56 0013
 0.14000E-02  0.19040E+56  0.92184E+56 0014
 0.15000E-02  0.19039E+56  0.92178E+56 0015
 0.16000E-02  0.19038E+56  0.92172E+56 0016
 0.17000E-02  0.19037E+56  0.92166E+56 0017
 0.18000E-02  0.19036E+56  0.92162E+56 0018
 0.19000E-02  0.19035E+56  0.92155E+56 0019
 0.20000E-02  0.19034E+56  0.92151E+56 0020
 0.21000E-02  0.19033E+56  0.92146E+56 0021
 0.22000E-02  0.19033E+56  0.92141E+56 0022
 0.23000E-02  0.19032E+56  0.92135E+56 0023
 0.24000E-02  0.19031E+56  0.92131E+56 0024
 0.25000E-02  0.19030E+56  0.92126E+56 0025
 0.26000E-02  0.19030E+56  0.92123E+56 0026
 0.27000E-02  0.19029E+56  0.92119E+56 0027
 0.28000E-02  0.19028E+56  0.92115E+56 0028
 0.29000E-02  0.19028E+56  0.92111E+56 0029
 0.30000E-02  0.19027E+56  0.92108E+56 0030
 0.31000E-02  0.19027E+56  0.92104E+56 0031
 0.32000E-02  0.19026E+56  0.92100E+56 0032
 0.33000E-02  0.19026E+56  0.92100E+56 0033
 0.34000E-02  0.19025E+56  0.92097E+56 0034
 0.35000E-02  0.19025E+56  0.92094E+56 0035
 0.36000E-02  0.19025E+56  0.92090E+56 0036
 0.37000E-02  0.19025E+56  0.92090E+56 0037
 0.38000E-02  0.19024E+56  0.92087E+56 0038
 0.39000E-02  0.19024E+56  0.92084E+56 0039
 0.40000E-02  0.19023E+56  0.92080E+56 0040
 0.41000E-02  0.19023E+56  0.92080E+56 0041
 0.42000E-02  0.19023E+56  0.92076E+56 0042
 0.43000E-02  0.19023E+56  0.92076E+56 0043
 0.44000E-02  0.19022E+56  0.92073E+56 0044
