   0.10000E-03    0.15784E+54    0.37654E+54 0001
   0.74400E-01    0.13300E+54    0.32022E+54 0744
   0.10690E+00    0.10898E+54    0.26768E+54 1069
   0.12520E+00    0.92278E+53    0.23097E+54 1252
   0.13220E+00    0.85061E+53    0.21499E+54 1322
   0.14420E+00    0.70602E+53    0.18193E+54 1442
   0.14920E+00    0.64115E+53    0.16671E+54 1492
   0.15270E+00    0.59769E+53    0.15579E+54 1527
   0.15510E+00    0.56643E+53    0.14743E+54 1551
   0.15690E+00    0.54226E+53    0.14107E+54 1569
   0.15820E+00    0.52362E+53    0.13570E+54 1582
   0.15920E+00    0.51181E+53    0.13187E+54 1592
   0.16000E+00    0.50097E+53    0.12827E+54 1600
   0.16060E+00    0.49595E+53    0.12628E+54 1606
